project,access-site,granularity,timestamp,count
all-projects,desktop-site,monthly,2008010100,9154428521
all-projects,desktop-site,monthly,2008020100,8843288153
all-projects,desktop-site,monthly,2008030100,9191926623
all-projects,desktop-site,monthly,2008040100,9645856901
all-projects,desktop-site,monthly,2008050100,10696423954
all-projects,desktop-site,monthly,2008060100,10862643783
all-projects,desktop-site,monthly,2008070100,9872117095
all-projects,desktop-site,monthly,2008080100,9821076284
all-projects,desktop-site,monthly,2008090100,10634498608
all-projects,desktop-site,monthly,2008100100,11060299656
all-projects,desktop-site,monthly,2008110100,10848704518
all-projects,desktop-site,monthly,2008120100,10823161731
all-projects,desktop-site,monthly,2009010100,11883795438
all-projects,desktop-site,monthly,2009020100,10905839181
all-projects,desktop-site,monthly,2009030100,12427916777
all-projects,desktop-site,monthly,2009040100,11355556723
all-projects,desktop-site,monthly,2009050100,12217627255
all-projects,desktop-site,monthly,2009060100,11512035301
all-projects,desktop-site,monthly,2009070100,11125301088
all-projects,desktop-site,monthly,2009080100,11303698817
all-projects,desktop-site,monthly,2009090100,8065942229
all-projects,desktop-site,monthly,2009100100,12204272936
all-projects,desktop-site,monthly,2009110100,11853172517
all-projects,desktop-site,monthly,2009120100,10963469612
all-projects,desktop-site,monthly,2010010100,11613873450
all-projects,desktop-site,monthly,2010020100,11584225546
all-projects,desktop-site,monthly,2010030100,12612180591
all-projects,desktop-site,monthly,2010040100,12118517363
all-projects,desktop-site,monthly,2010050100,12014991244
all-projects,desktop-site,monthly,2010060100,9143143927
all-projects,desktop-site,monthly,2010070100,9612011264
all-projects,desktop-site,monthly,2010080100,13810440568
all-projects,desktop-site,monthly,2010090100,14747707070
all-projects,desktop-site,monthly,2010100100,21193830107
all-projects,desktop-site,monthly,2010110100,13914410749
all-projects,desktop-site,monthly,2010120100,13785527890
all-projects,desktop-site,monthly,2011010100,15137010671
all-projects,desktop-site,monthly,2011020100,13854753844
all-projects,desktop-site,monthly,2011030100,15006089387
all-projects,desktop-site,monthly,2011040100,13899186770
all-projects,desktop-site,monthly,2011050100,14787553914
all-projects,desktop-site,monthly,2011060100,13778335121
all-projects,desktop-site,monthly,2011070100,13653464078
all-projects,desktop-site,monthly,2011080100,13781921201
all-projects,desktop-site,monthly,2011090100,12461779972
all-projects,desktop-site,monthly,2011100100,15469667115
all-projects,desktop-site,monthly,2011110100,16103744977
all-projects,desktop-site,monthly,2011120100,13522398373
all-projects,desktop-site,monthly,2012010100,16904206115
all-projects,desktop-site,monthly,2012020100,15914562348
all-projects,desktop-site,monthly,2012030100,15935931009
all-projects,desktop-site,monthly,2012040100,15224746147
all-projects,desktop-site,monthly,2012050100,16594765361
all-projects,desktop-site,monthly,2012060100,16000814943
all-projects,desktop-site,monthly,2012070100,16119736708
all-projects,desktop-site,monthly,2012080100,16487290374
all-projects,desktop-site,monthly,2012090100,16802818496
all-projects,desktop-site,monthly,2012100100,18005922272
all-projects,desktop-site,monthly,2012110100,17773634207
all-projects,desktop-site,monthly,2012120100,17059336832
all-projects,desktop-site,monthly,2013010100,19375152017
all-projects,desktop-site,monthly,2013020100,17355815405
all-projects,desktop-site,monthly,2013030100,18961272774
all-projects,desktop-site,monthly,2013040100,17668337787
all-projects,desktop-site,monthly,2013050100,18206521840
all-projects,desktop-site,monthly,2013060100,17508572135
all-projects,desktop-site,monthly,2013070100,18284300434
all-projects,desktop-site,monthly,2013080100,20953336538
all-projects,desktop-site,monthly,2013090100,22253517043
all-projects,desktop-site,monthly,2013100100,24238798796
all-projects,desktop-site,monthly,2013110100,23608437714
all-projects,desktop-site,monthly,2013120100,15490916284
all-projects,desktop-site,monthly,2014010100,15607666086
all-projects,desktop-site,monthly,2014020100,15158182039
all-projects,desktop-site,monthly,2014030100,16848037147
all-projects,desktop-site,monthly,2014040100,15945673445
all-projects,desktop-site,monthly,2014050100,16364057216
all-projects,desktop-site,monthly,2014060100,15001587397
all-projects,desktop-site,monthly,2014070100,15321965691
all-projects,desktop-site,monthly,2014080100,15568258191
all-projects,desktop-site,monthly,2014090100,17083354788
all-projects,desktop-site,monthly,2014100100,15489279343
all-projects,desktop-site,monthly,2014110100,14387298639
all-projects,desktop-site,monthly,2014120100,14013025175
all-projects,desktop-site,monthly,2015010100,14160124703
all-projects,desktop-site,monthly,2015020100,12632983539
all-projects,desktop-site,monthly,2015030100,14122595254
all-projects,desktop-site,monthly,2015040100,13757957383
all-projects,desktop-site,monthly,2015050100,13928808505
all-projects,desktop-site,monthly,2015060100,11494146983
all-projects,desktop-site,monthly,2015070100,11921729452
all-projects,desktop-site,monthly,2015080100,11148178057
all-projects,desktop-site,monthly,2015090100,11819880511
all-projects,desktop-site,monthly,2015100100,12228423272
all-projects,desktop-site,monthly,2015110100,12050899239
all-projects,desktop-site,monthly,2015120100,11877050131
all-projects,desktop-site,monthly,2016010100,12493547532
all-projects,desktop-site,monthly,2016020100,11887525591
all-projects,desktop-site,monthly,2016030100,12325874778
all-projects,desktop-site,monthly,2016040100,12467022151
all-projects,desktop-site,monthly,2016050100,12087770685
all-projects,desktop-site,monthly,2016060100,11273343920
